;show_date;Artist;Title;Album;Year
317;Dec 15. 2022;Adia Victoria;Dead Eyes;Beyond The Bloodhounds;2016
318;Dec 15. 2022;Beat Happening;Indian Summer;Look Around;2015
319;Dec 15. 2022;Belle and Sebastian;The Party Line;The Party Line;2014
320;Dec 15. 2022;Best Coast;Our Deal;Crazy For You;2012
321;Dec 15. 2022;Angry Angles;Things Are Moving;Things Are Moving;2016
322;Dec 15. 2022;Broncho;Taj Mahal;Just Enough Hip To Be Woman;2014
323;Dec 15. 2022;Car Seat Headrest;My Boy;My Boy;2018
324;Dec 15. 2022;The Decemberists;Easy Come. Easy Go;Easy Come. Easy Go;2015
325;Dec 15. 2022;Dinosaur Jr.;Tiny;Tiny;2016
326;Dec 15. 2022;Eddy Current Suppression Ring;Medieval Wall;All in Good Time;2019
327;Dec 15. 2022;Hinds;Finally Floating;I Don't Run;2018
328;Dec 15. 2022;Guided By Voices;Striped White Jets;Striped White Jets;1995
329;Dec 15. 2022;Interpol;Obstacle 1 (Remastered);Turn on the Bright Lights (Tenth Anniversary Edition);2012
330;Dec 15. 2022;The Jon Spencer Blues Explosion;Bellbottoms;Dirty Shirt Rock 'N' Roll: The First Ten Years;2014
331;Dec 15. 2022;La Luz;Call Me In the Day;Damp Face EP;2013
332;Dec 15. 2022;Neutral Milk Hotel;In the Aeroplane Over the Sea;In the Aeroplane Over the Sea;1998
333;Dec 15. 2022;The Olivia Tremor Control;Hideaway;Black Foliage: Animation Music;2004
334;Dec 15. 2022;Ezra Furman;Thermometer;Twelve Nudes;2019
335;Dec 15. 2022;Pixies;Gigantic;Gigantic;2004
336;Dec 15. 2022;The Jesus and Mary Chain;Head On;21 Singles;2002
337;Dec 11. 2022;Wet Leg;Wet Dream;Wet Dream;2021
338;Dec 11. 2022;Weezer;My Name Is Jonas;Blue/Green/Red;2014
339;Dec 11. 2022;The Cairo Gang;Be What You Are;Goes Missing;2015
340;Dec 11. 2022;Ween;Captain Fantasy;Live at Stubb's;2003
341;Dec 11. 2022;The War On Drugs;Red Eyes;Red Eyes;2013
342;Dec 11. 2022;The Walkmen;Heartbreaker;Heaven;2012
343;Dec 11. 2022;Violent Femmes;Gone Daddy Gone;Permanent Record: The Very Best Of The Violent Femmes;2014
344;Dec 11. 2022;Veruca Salt;Seether;90s Rock Gold;2009
345;Dec 11. 2022;Mitski;Cop Car;The Turning (Original Motion Picture Soundtrack);2020
346;Dec 11. 2022;Stef Chura;17th Amendment;27: The Most Perfect Album;2018
347;Dec 11. 2022;Supersuckers;Coattail Rider;Coattail Rider;2008
348;Dec 11. 2022;The Grifters;Parting Shot;Parting Shot;2008
349;Dec 11. 2022;The White Stripes;Party of Special Things to Do;Party of Special Things to Do;2015
350;Dec 11. 2022;Black Lips;Disconnection;Disconnection;2009
351;Dec 11. 2022;Vampire Weekend;Step;Step;2013
352;Dec 11. 2022;The Vaccines;Teenage Icon;Teenage Icon;2012
353;Dec 11. 2022;Uncle Tupelo;New Madrid;Uncle Tupelo 89/93: An Anthology;2002
354;Dec 11. 2022;David Cleveland (BMI) 100%;Just How I Feel;Acoustic Breeze;2002
355;Dec 11. 2022;Ultra Orange;Don't Kiss Me Goodbye;Ultra Orange & Emmanuelle (Digital Deluxe Edition);2007
356;Dec 11. 2022;alt-J;Left Hand Free;Left Hand Free;2014
357;Dec 11. 2022;The Amps;Tipp City;Tipp City;1995
358;Dec 11. 2022;Arcade Fire;Neighborhood #1 (Tunnels);Funeral;2017
359;Dec 11. 2022;Arctic Monkeys;Do I Wanna Know?;AM;2013
